lemma;significato;categoria;note
αγάομαι;Ammiro, Mi meraviglio, Invidio;Verbo;Medio Deponente
αγαπάζω;Tratto con affetto;Verbo;
Αγαπαῖος,ο;Agapeo;Sostantivo;Seconda declinazione
αγαπάω;Tratto con affetto, Sono contento di, Accolgo con amore;Verbo;Verbo contratto
αγάπη/ης,η;L'amore incondizionato;Sostantivo;Prima declinazione
αγάπημα/τος,το;Oggetto d'affezzione;Sostantivo;Terza declinazione
αγαπήνωρ/ορος;Virile, Coraggioso;Aggettivo;Seconda classe
Αγαπήνωρ,ο;Agapenore;Sostantivo;Terza declinazione
αγάπησις/εως,η;Affezzione, Amore;Sostantivo;Terza declinazione
αγαπητέος/έα/έον;Che deve essere tenuto caro;Aggettivo;Prima classe
αγαπητικός/ή/όν;Affettuoso;Aggettivo;Prima classe
αγαπητός/ή/όν;Amato, Amabile, Desiderato;Aggettivo;Prima classe
Αγαπωμενός/οῦ,ο;Agapomeno;Sostantivo;Seconda declinazione
Άγαρ,η;Agar;Sostantivo;Indeclinabile, Schiava di Abramo e madre di Ismaele
Αγαραῖοι,οι;Discendenti di Agar;Sostantivo;Indeclinabile
Αγαρηνός,ο;Agareno, Discendente di Agar;Sostantivo;Indeclinabile
αγαρικόν/οῦ,τό;Agarico;Sostantivo;Seconda declinazione, Vasto genere di Funghi → Comprende anche lo Champignon
Άγαροι,οι;Agari;Sostantivo;Indeclinabile, Popolo sciita
Αγαρίστη/ης,η;Agariste;Sostantivo;Prima declinazione, Madre di Pericle → Governatore di Atene dopo Efialte
Άγαρρα,η;Agarra;Sostantivo;Indeclinabile, Regione montuosa vicino all'Armenia
Αγαρρικός,ο;Di Agarra;Sostantivo;Indeclinabile
αγάρρους/ουν;Che scorre veloce, Impetuoso;Aggettivo;Prima classe
αγασθενής/ές;Molto forte;Aggettivo;Seconda classe
Αγασθένης/ους,ο;Agastene;Sostantivo;Terza declinazione
Αγασίας/ου,ο;Agasia;Sostantivo;Prima declinazione,
Αγασικλῆς/έους,ο;Agasicle;Sostantivo;Terza declinazione
άγασμα/τος,το;Oggetto di ammirazione/venerazione;Sostantivo;Terza declinazione
αγάσταχυς/υος;Ricco di spighe;Aggettivo;Seconda classe
αγάστονος/ον;Che geme/grida/risuona fortemente;Aggettivo;Prima classe
αγαστός/ή/όν;Mirabile, Ammirevole;Aggettivo;Prima classe
αγαστῶς;Ammirevolmente;Avverbio;
Αγάστροφος/ου,ο;Agastrofo;Sostantivo;Seconda declinazione
αγάστωρ/ορος;Fratello;Sostantivo;Terza declinazione
αγασυλλίς/ίδος,η;Agasillide;Sostantivo;Terza declinazione, Un tipo di pianta
αγάσυρτος/ου,ο;Sporco;Sostantivo;Seconda declinazione
Αγαυή,ῆς,η;Agave;Sostantivo;Prima declinazione, Una delle Nereidi
αγαυός/ή/όν;Ammirevole, Illustre, Glorioso, Splendido;Aggettivo;Prima classe
Αγαυός/οῦ,ο;Agavo;Sostantivo;Seconda declinazione
αγαυρίαμα/τος,τό;Insolenza;Sostantivo;Terza declinazione
αγαυρός/ά/όν;Superbo, Splendido;Aggettivo;Prima classe
αγάφθεγκτος/ον;Molto risonante;Aggettivo;Prima classe
Άγβαλος/ου,ο;Agbalo;Sostantivo;Seconda declinazione
